gene	cell	time	entropy
Actb	E14	0	0.7051075738080447
Actb	E14	24	1.4185434605510845
Actb	E14	48	1.587462938372806
Actb	E14	72	1.5298451202572871
Actb	E14	96	1.6211907941157044
Actb	E14	120	1.8595480545004528
Actb	E14	168	1.6500581781627053
Bmi1	E14	0	1.6367128362525696
Bmi1	E14	24	0.7324057364621919
Bmi1	E14	48	0.6412325211922318
Bmi1	E14	72	1.6376327882341963
Bmi1	E14	96	-0.0
Bmi1	E14	120	0.44519264207583126
Bmi1	E14	168	0.6406333397082072
Bmp4	E14	0	0.1879907696723213
Bmp4	E14	24	1.2980764501889115
Bmp4	E14	48	1.1025313444408384
Bmp4	E14	72	0.5974654418440759
Bmp4	E14	96	0.4984463969362187
Bmp4	E14	120	0.16604753169460829
Bmp4	E14	168	0.44594987573843237
Bmp7	E14	0	0.19014037825453678
Bmp7	E14	24	0.2985669445315976
Bmp7	E14	48	0.5535473210039261
Bmp7	E14	72	1.3576714176289104
Bmp7	E14	96	0.8159705209946211
Bmp7	E14	120	0.6959579782670949
Bmp7	E14	168	0.6691183790353248
Bmpr1a	E14	0	2.024833258770053
Bmpr1a	E14	24	2.2585055943617505
Bmpr1a	E14	48	2.1045063418677006
Bmpr1a	E14	72	1.7446426375393036
Bmpr1a	E14	96	2.208235289425624
Bmpr1a	E14	120	2.124998456106049
Bmpr1a	E14	168	2.010118522394905
Cd34	E14	0	0.5465652017348422
Cd34	E14	24	1.5254821343155172
Cd34	E14	48	1.7067072996019512
Cd34	E14	72	1.328426817004822
Cd34	E14	96	0.30566214808350683
Cd34	E14	120	0.28734433042361957
Cd34	E14	168	-0.0
Cdh1	E14	0	0.7191065923565979
Cdh1	E14	24	-0.0
Cdh1	E14	48	0.6301160410196671
Cdh1	E14	72	0.8676245556109775
Cdh1	E14	96	-0.0
Cdh1	E14	120	0.16604753169460829
Cdh1	E14	168	-0.0
Cdh2	E14	0	1.1826000869532591
Cdh2	E14	24	1.2107465389333614
Cdh2	E14	48	0.6406333397082071
Cdh2	E14	72	0.3750284396515587
Cdh2	E14	96	1.0356816183034154
Cdh2	E14	120	0.5601568122893339
Cdh2	E14	168	0.4862338355039765
Cdk2	E14	0	-0.0
Cdk2	E14	24	1.0932765781161125
Cdk2	E14	48	0.8803579715978321
Cdk2	E14	72	0.7959432276854469
Cdk2	E14	96	1.3923637663843291
Cdk2	E14	120	1.4779753262048838
Cdk2	E14	168	1.7206212982805327
Cdx2	E14	0	0.19014037825453678
Cdx2	E14	24	-0.0
Cdx2	E14	48	0.2928360121183476
Cdx2	E14	72	0.5247723852990722
Cdx2	E14	96	-0.0
Cdx2	E14	120	0.16768127731175414
Cdx2	E14	168	0.17101413880941552
Cldn6	E14	0	1.0493880106499667
Cldn6	E14	24	1.4195488464747652
Cldn6	E14	48	0.33515589762857845
Cldn6	E14	72	1.155453766198967
Cldn6	E14	96	0.5105893048540886
Cldn6	E14	120	1.121862038464315
Cldn6	E14	168	1.4507405417258392
Ctcf	E14	0	0.5109887511942693
Ctcf	E14	24	0.5921431787039244
Ctcf	E14	48	0.6822940695389822
Ctcf	E14	72	0.9129613932585775
Ctcf	E14	96	1.4235127754440247
Ctcf	E14	120	1.4068776791435356
Ctcf	E14	168	1.6492600950881744
Ctnnb1	E14	0	0.8005102869618702
