gene	cell	time	entropy
Ctnnb1	E14	24	1.8826063245214852
Ctnnb1	E14	48	1.2487010866853725
Ctnnb1	E14	72	0.8043145196163204
Ctnnb1	E14	96	1.713682183416033
Ctnnb1	E14	120	1.3433934792839282
Ctnnb1	E14	168	2.536159826033314
Ctnnb1	R1	0	1.5614277695900285
Ctnnb1	R1	24	1.2987748905895555
Ctnnb1	R1	48	1.6970667286375851
Ctnnb1	R1	72	2.537808928540784
Ctnnb1	R1	96	1.268580552642092
Ctnnb1	R1	120	1.640614798702941
Ctnnb1	R1	168	1.8459975990300501
Dnmt1	E14	0	1.2302472636375836
Dnmt1	E14	24	1.3393360876079694
Dnmt1	E14	48	1.6058852303134818
Dnmt1	E14	72	1.7500904690297316
Dnmt1	E14	96	2.5473348608270463
Dnmt1	E14	120	2.3771533362350556
Dnmt1	E14	168	2.3901495793783116
Dnmt1	R1	0	1.5310697723351605
Dnmt1	R1	24	1.6249256423871086
Dnmt1	R1	48	1.6502331638928687
Dnmt1	R1	72	1.3843264649740399
Dnmt1	R1	96	2.5823339166731345
Dnmt1	R1	120	2.2564430008911827
Dnmt1	R1	168	2.616565206666415
Dnmt3b	E14	0	0.6267973351873163
Dnmt3b	E14	24	1.7851207911808693
Dnmt3b	E14	48	2.0943980987978223
Dnmt3b	E14	72	1.2404752394697602
Dnmt3b	E14	96	1.5384417378136173
Dnmt3b	E14	120	2.0638219051640627
Dnmt3b	E14	168	1.3437353572510133
Dnmt3b	R1	0	1.017711381300373
Dnmt3b	R1	24	1.013308653868203
Dnmt3b	R1	48	1.2092574786226087
Dnmt3b	R1	72	0.976257032700152
Dnmt3b	R1	96	1.3046709821730764
Dnmt3b	R1	120	1.2242880005323864
Dnmt3b	R1	168	1.3789096857427912
Dppa3	E14	0	1.325721686074694
Dppa3	E14	24	1.176430000047165
Dppa3	E14	48	0.45358915606125516
Dppa3	E14	72	0.46144096766988296
Dppa3	E14	96	0.30566214808350683
Dppa3	E14	120	0.3287768332077482
Dppa3	E14	168	0.17101413880941552
Dppa3	R1	0	0.4290831259450416
Dppa3	R1	24	0.6920516745196275
Dppa3	R1	48	0.4862338355039765
Dppa3	R1	72	0.3686444257942624
Dppa3	R1	96	0.27322552547084034
Dppa3	R1	120	0.4451926420758312
Dppa3	R1	168	0.16448768089662102
Dppa4	E14	0	0.6229766755973942
Dppa4	E14	24	0.5136308187158772
Dppa4	E14	48	0.8927537357464241
Dppa4	E14	72	1.7661212121763017
Dppa4	E14	96	1.80941468390041
Dppa4	E14	120	0.7697527121064981
Dppa4	E14	168	0.17276728930306376
Dppa4	R1	0	0.5103196623946488
Dppa4	R1	24	0.8935146895470236
Dppa4	R1	48	0.7197326384633909
Dppa4	R1	72	1.5544048827779329
Dppa4	R1	96	1.948821340036598
Dppa4	R1	120	1.9048358599843656
Dppa4	R1	168	0.8587582469659939
Eomes	E14	0	2.066896830561794
Eomes	E14	24	1.6136691826554912
Eomes	E14	48	1.7298727640413736
Eomes	E14	72	1.0329905351899493
Eomes	E14	96	-0.0
Eomes	E14	120	0.29071041887464594
Eomes	E14	168	-0.0
Eomes	R1	0	2.0520172611848766
Eomes	R1	24	1.9797773629675395
Eomes	R1	48	2.0073090796774156
Eomes	R1	72	1.3382995865217768
Eomes	R1	96	0.27816180624179876
Eomes	R1	120	0.29071041887464594
Eomes	R1	168	0.5431693217679537
Esrrb	E14	0	0.926494368399484
Esrrb	E14	24	2.212221251238799
Esrrb	E14	48	1.0962213926980944
Esrrb	E14	72	0.1623331691030834
Esrrb	E14	96	0.3093571832577959
Esrrb	E14	120	0.16866982114580215
Esrrb	E14	168	0.17204673275639695
Esrrb	R1	0	1.1618001440628907
Esrrb	R1	24	1.9705587416217085
Esrrb	R1	48	0.39888578626489984
Esrrb	R1	72	0.37127650750347585
Esrrb	R1	96	-0.0
Esrrb	R1	120	-0.0
Esrrb	R1	168	-0.0
Ezh2	E14	0	1.8733016035931662
Ezh2	E14	24	2.339702386249345
Ezh2	E14	48	2.714794987101249
Ezh2	E14	72	2.2334942523840957
Ezh2	E14	96	2.48828463416568
Ezh2	E14	120	2.6063725918999556
Ezh2	E14	168	1.9038091874995586
Ezh2	R1	0	1.9981331605529156
Ezh2	R1	24	2.236052070358273
Ezh2	R1	48	2.0940832250067696
Ezh2	R1	72	2.286944428864231
Ezh2	R1	96	0.88924780556256
Ezh2	R1	120	2.047035347462219
Ezh2	R1	168	2.210895476790326
Fbxo15	E14	0	0.19144589101085877
Fbxo15	E14	24	0.17557563806752738
Fbxo15	E14	48	1.2038397097242453
Fbxo15	E14	72	1.2146494125929874
Fbxo15	E14	96	0.3093571832577959
Fbxo15	E14	120	0.6370863690490036
Fbxo15	E14	168	1.03135750794522
Fbxo15	R1	0	-0.0
Fbxo15	R1	24	0.3677412265381429
Fbxo15	R1	48	1.2157681843761243
Fbxo15	R1	72	1.5845388268768648
Fbxo15	R1	96	1.5927641332898317
Fbxo15	R1	120	1.1023620958731806
Fbxo15	R1	168	0.89705199374805
Fgf4	E14	0	0.19144589101085877
Fgf4	E14	24	1.7599311952541337
Fgf4	E14	48	1.3103984325235285
Fgf4	E14	72	1.2735491643875847
Fgf4	E14	96	0.30935718325779593
Fgf4	E14	120	-0.0
Fgf4	E14	168	-0.0
Fgf4	R1	0	0.9536733616262408
Fgf4	R1	24	1.448336569348113
Fgf4	R1	48	1.2157681843761243
Fgf4	R1	72	1.4193011443010455
Fgf4	R1	96	1.3901643626797908
Fgf4	R1	120	0.3316094650877965
Fgf4	R1	168	0.16543498641675256
Fgf5	E14	0	-0.0
Fgf5	E14	24	1.860298434518844
Fgf5	E14	48	0.9264450052678611
Fgf5	E14	72	1.6938382760904171
Fgf5	E14	96	0.30935718325779593
Fgf5	E14	120	-0.0
Fgf5	E14	168	-0.0
Fgf5	R1	0	0.22228935949653048
Fgf5	R1	24	1.893089798782481
Fgf5	R1	48	0.9802907831714431
Fgf5	R1	72	1.403684229249627
Fgf5	R1	96	0.9643555922541025
Fgf5	R1	120	0.6358672692350098
Fgf5	R1	168	0.16543498641675253
Fgfr2	E14	0	0.8086553555045854
Fgfr2	E14	24	1.732403063629182
Fgfr2	E14	48	1.414234412087434
Fgfr2	E14	72	1.1118401199399495
Fgfr2	E14	96	1.0925205877547017
Fgfr2	E14	120	1.1675725525638883
Fgfr2	E14	168	1.4396797147594231
Fgfr2	R1	0	1.1307673026713478
Fgfr2	R1	24	1.520880702614983
Fgfr2	R1	48	1.4252251060663523
Fgfr2	R1	72	1.4483548667834782
Fgfr2	R1	96	1.4650633310474228
Fgfr2	R1	120	1.4505609695582593
Fgfr2	R1	168	2.0372089449239237
Foxa2	E14	0	0.7091338897394031
Foxa2	E14	24	0.4065301601132543
Foxa2	E14	48	1.3102243425391218
Foxa2	E14	72	0.8364014798535245
Foxa2	E14	96	1.2125619501971083
Foxa2	E14	120	1.4655013772419625
Foxa2	E14	168	1.402624178996414
Foxa2	R1	0	0.7091066723956675
Foxa2	R1	24	1.156074757205409
Foxa2	R1	48	1.0617184983347083
Foxa2	R1	72	1.0753044287586728
Foxa2	R1	96	0.7165835725329356
Foxa2	R1	120	1.3955038834313183
Foxa2	R1	168	1.570146101806201
Gapdh	E14	0	1.5737429846081048
Gapdh	E14	24	1.7885024135257452
Gapdh	E14	48	2.418697634014638
Gapdh	E14	72	1.2656309457933614
Gapdh	E14	96	1.8854140428070332
Gapdh	E14	120	2.177231548848871
Gapdh	E14	168	2.214404958994637
Gapdh	R1	0	2.0060333491203686
Gapdh	R1	24	1.317770131310342
Gapdh	R1	48	1.6694944086428674
Gapdh	R1	72	1.4707570029853658
Gapdh	R1	96	1.7299031035790746
Gapdh	R1	120	1.8275757850678218
Gapdh	R1	168	2.126832324999567
Gata1	E14	0	0.9940317344137298
Gata1	E14	24	0.6208889121032415
Gata1	E14	48	-0.0
Gata1	E14	72	0.16142452667068435
Gata1	E14	96	-0.0
Gata1	E14	120	-0.0
Gata1	E14	168	-0.0
Gata1	R1	0	0.8963693299595847
Gata1	R1	24	0.5967839389504722
Gata1	R1	48	0.45358915606125516
Gata1	R1	72	-0.0
Gata1	R1	96	-0.0
Gata1	R1	120	0.1676812773117541
Gata1	R1	168	-0.0
Gata4	E14	0	0.19014037825453678
Gata4	E14	24	0.681476632464967
Gata4	E14	48	1.2951472457165552
Gata4	E14	72	0.7176996767236086
Gata4	E14	96	0.30566214808350683
Gata4	E14	120	1.1549957857352502
Gata4	E14	168	1.0226030256677046
Gata4	R1	0	0.8409316039962059
Gata4	R1	24	1.0001987947073494
Gata4	R1	48	1.0110631336974802
Gata4	R1	72	0.7969300141976201
Gata4	R1	96	0.9689899469805767
Gata4	R1	120	0.6299734897264693
Gata4	R1	168	1.2388312098472452
Gata6	E14	0	0.3653172117840782
Gata6	E14	24	0.7852575040404469
Gata6	E14	48	0.2894003983960465
Gata6	E14	72	0.15992118175790837
Gata6	E14	96	-0.0
Gata6	E14	120	0.6198299906495953
Gata6	E14	168	0.8089954268350379
Gata6	R1	0	0.36771943302151416
Gata6	R1	24	0.850681647560577
Gata6	R1	48	0.3905788035195454
Gata6	R1	72	0.26925171237503803
Gata6	R1	96	0.26851275070915387
Gata6	R1	120	0.6198299906495953
Gata6	R1	168	0.7853141926412158
Gdf3	E14	0	0.3798146751646787
Gdf3	E14	24	1.5800590591602635
Gdf3	E14	48	1.463781183125261
Gdf3	E14	72	2.1841962396211283
Gdf3	E14	96	1.0934584602013937
Gdf3	E14	120	0.16988079414604718
Gdf3	E14	168	-0.0
Gdf3	R1	0	0.8714294641123644
Gdf3	R1	24	1.240504499164996
Gdf3	R1	48	1.3092672741863378
Gdf3	R1	72	2.32687881159062
Gdf3	R1	96	1.4768645891760754
Gdf3	R1	120	0.29175604721091014
Gdf3	R1	168	-0.0
GFAP	E14	0	-0.0
GFAP	E14	24	0.17271355920228434
GFAP	E14	48	0.3905788035195454
GFAP	E14	72	-0.0
GFAP	E14	96	-0.0
GFAP	E14	120	-0.0
GFAP	E14	168	-0.0
GFAP	R1	0	-0.0
GFAP	R1	24	0.21189825175237448
GFAP	R1	48	0.4792716310839915
GFAP	R1	72	-0.0
GFAP	R1	96	-0.0
GFAP	R1	120	-0.0
GFAP	R1	168	-0.0
Gli2	E14	0	2.4443862922629225
Gli2	E14	24	0.4702045117147191
Gli2	E14	48	0.6537156349395629
Gli2	E14	72	2.122079484559436
Gli2	E14	96	1.713281046215735
Gli2	E14	120	2.1137135097320976
Gli2	E14	168	0.5760836332560111
Gli2	R1	0	2.240582867386002
Gli2	R1	24	1.8118350361569282
Gli2	R1	48	1.1003769223945419
Gli2	R1	72	1.1405745407744734
Gli2	R1	96	0.8759705554775272
Gli2	R1	120	1.4912002580699002
Gli2	R1	168	1.3457704178132284
Grb2	E14	0	2.072131619919772
Grb2	E14	24	1.2095193107396807
Grb2	E14	48	1.7158110029567322
Grb2	E14	72	2.0218909701391525
Grb2	E14	96	2.6116416051492144
Grb2	E14	120	2.1703452643877994
Grb2	E14	168	1.7301329263726042
Grb2	R1	0	1.2973159043031695
Grb2	R1	24	1.5890035903923168
Grb2	R1	48	1.0936501966759178
Grb2	R1	72	2.544439152955428
Grb2	R1	96	1.8554413084669612
Grb2	R1	120	1.9424150151748678
Grb2	R1	168	2.0463004004481515
Gsc	E14	0	0.7191065923565979
Gsc	E14	24	0.29497604117451814
Gsc	E14	48	-0.0
Gsc	E14	72	0.6003603485813365
Gsc	E14	96	-0.0
Gsc	E14	120	0.16604753169460829
Gsc	E14	168	-0.0
Gsc	R1	0	0.21751406006836527
Gsc	R1	24	0.21189825175237448
Gsc	R1	48	0.16930856967512892
Gsc	R1	72	0.44791021239884277
Gsc	R1	96	0.4492483397728028
Gsc	R1	120	0.16604753169460829
Gsc	R1	168	0.1629212169184182
Gsk3b	E14	0	1.8279183177422103
Gsk3b	E14	24	1.3992367791088935
Gsk3b	E14	48	1.4304282783150657
Gsk3b	E14	72	1.37830633588383
Gsk3b	E14	96	1.4191693427746324
Gsk3b	E14	120	1.9869614601808385
Gsk3b	E14	168	1.579823207055988
Gsk3b	R1	0	2.0515390960678146
Gsk3b	R1	24	1.377418266428914
Gsk3b	R1	48	1.3888213646461742
Gsk3b	R1	72	1.3755216584918737
Gsk3b	R1	96	1.5247698141460901
Gsk3b	R1	120	1.6985188412966536
Gsk3b	R1	168	1.2109955142202038
Hand1	E14	0	-0.0
Hand1	E14	24	-0.0
Hand1	E14	48	0.2894003983960465
Hand1	E14	72	0.27399222255462224
Hand1	E14	96	-0.0
Hand1	E14	120	-0.0
Hand1	E14	168	-0.0
Hand1	R1	0	-0.0
Hand1	R1	24	0.5496915119666342
Hand1	R1	48	0.16930856967512892
Hand1	R1	72	-0.0
Hand1	R1	96	-0.0
Hand1	R1	120	0.16604753169460829
Hand1	R1	168	-0.0
Hdac1	E14	0	1.3943429428149665
Hdac1	E14	24	1.1898683085702533
Hdac1	E14	48	2.0466963012108703
Hdac1	E14	72	1.3590298015854887
Hdac1	E14	96	1.4999570392262844
Hdac1	E14	120	1.8177359758987992
Hdac1	E14	168	2.3291670644801585
Hdac1	R1	0	1.201973066891
Hdac1	R1	24	1.5290263140579925
Hdac1	R1	48	1.2963300661541262
Hdac1	R1	72	1.5495634930061988
Hdac1	R1	96	1.5598375512225813
Hdac1	R1	120	1.3912769499284
Hdac1	R1	168	2.557145386027137
Hes1	E14	0	1.9096782584760308
Hes1	E14	24	0.6289262106255225
Hes1	E14	48	1.2548998989325895
Hes1	E14	72	1.7218012604662052
Hes1	E14	96	1.8573089462847323
Hes1	E14	120	1.6476128197622646
Hes1	E14	168	0.6486641094630552
Hes1	R1	0	2.1953068868898553
Hes1	R1	24	0.9740056212383246
Hes1	R1	48	1.7701141956423765
Hes1	R1	72	1.8653384877581196
Hes1	R1	96	1.4286633301463307
Hes1	R1	120	1.676655324921906
Hes1	R1	168	1.6600995442246798
Igf2	E14	0	0.5161057362538051
Igf2	E14	24	0.597932524944978
Igf2	E14	48	1.2589167093465206
Igf2	E14	72	1.9003724223700869
Igf2	E14	96	0.9033686599055495
Igf2	E14	120	1.187346747149184
Igf2	E14	168	1.1913523004771225
Igf2	R1	0	0.8769467638519058
Igf2	R1	24	0.8172815486089405
Igf2	R1	48	1.269617652474719
Igf2	R1	72	1.3290245807151153
Igf2	R1	96	2.356181117114898
Igf2	R1	120	2.236644567684937
Igf2	R1	168	2.325843437711435
Isl1	E14	0	0.5014812862606483
Isl1	E14	24	0.8040700837925888
Isl1	E14	48	0.39576870401291997
Isl1	E14	72	-0.0
Isl1	E14	96	-0.0
Isl1	E14	120	0.28734433042361957
Isl1	E14	168	0.45358915606125516
Isl1	R1	0	0.4290831259450416
Isl1	R1	24	-0.0
Isl1	R1	48	0.6691183790353248
Isl1	R1	72	-0.0
Isl1	R1	96	0.27322552547084034
Isl1	R1	120	-0.0
Isl1	R1	168	0.6191484189408134
Jag1	E14	0	2.2039486318587906
Jag1	E14	24	0.669935216653102
Jag1	E14	48	1.403034901746566
Jag1	E14	72	2.040998829142227
Jag1	E14	96	2.341083835836754
Jag1	E14	120	2.235885773691897
Jag1	E14	168	1.845846855143848
Jag1	R1	0	1.7638347769804081
Jag1	R1	24	1.385796696606101
Jag1	R1	48	1.6679925545450838
Jag1	R1	72	1.3148212609131513
Jag1	R1	96	0.7316855391782771
Jag1	R1	120	1.06429852522567
Jag1	R1	168	1.530341870862314
Jarid2	E14	0	0.7294329205483515
Jarid2	E14	24	0.9635259245085901
Jarid2	E14	48	0.8206925617402909
Jarid2	E14	72	1.604720287858247
Jarid2	E14	96	2.055784017180971
Jarid2	E14	120	1.5170690277887955
Jarid2	E14	168	1.681086905083239
Jarid2	R1	0	0.44248129178892576
Jarid2	R1	24	0.9636184946310267
Jarid2	R1	48	0.3428000778785578
Jarid2	R1	72	1.6568851287172275
Jarid2	R1	96	1.4109584649884863
Jarid2	R1	120	0.9213073570576698
Jarid2	R1	168	1.322006615683239
Kdm1a	E14	0	0.8543120782515896
Kdm1a	E14	24	0.7362762953161053
Kdm1a	E14	48	1.5729358199451196
Kdm1a	E14	72	1.0829318001198889
Kdm1a	E14	96	1.2303262558826824
Kdm1a	E14	120	1.1660194938144495
Kdm1a	E14	168	1.5934085848264687
Kdm1a	R1	0	1.862739947726315
Kdm1a	R1	24	0.6287676773129547
Kdm1a	R1	48	1.109731268832429
Kdm1a	R1	72	1.3078978398266659
Kdm1a	R1	96	1.2895709208686894
Kdm1a	R1	120	1.4129038883460785
Kdm1a	R1	168	1.8878589537193822
Kdm4c	E14	0	1.4057193320899541
Kdm4c	E14	24	0.9673768097709463
Kdm4c	E14	48	0.8077067044992086
Kdm4c	E14	72	1.250791952865651
Kdm4c	E14	96	1.8912401196640192
Kdm4c	E14	120	1.9054162103381835
Kdm4c	E14	168	1.3888213646461742
Kdm4c	R1	0	1.2822583233875242
Kdm4c	R1	24	0.7942567819872843
Kdm4c	R1	48	1.0843594815535265
Kdm4c	R1	72	0.5783633637793989
Kdm4c	R1	96	1.4074844643999986
Kdm4c	R1	120	1.6096935789447828
Kdm4c	R1	168	1.5289392988254196
Klf4	E14	0	-0.0
Klf4	E14	24	1.3325137579462787
Klf4	E14	48	0.7903785203378785
Klf4	E14	72	1.1915672747147303
Klf4	E14	96	0.30566214808350683
Klf4	E14	120	0.5575062561874157
Klf4	E14	168	0.9652202611070947
Klf4	R1	0	-0.0
Klf4	R1	24	1.4352880181733807
Klf4	R1	48	0.7074883674393646
Klf4	R1	72	0.6000364457744672
Klf4	R1	96	0.7394102792933724
Klf4	R1	120	1.0252247729012534
Klf4	R1	168	1.0126165702734236
Lif	E14	0	1.6225396470427995
Lif	E14	24	1.5234230616828897
Lif	E14	48	2.054940491995719
Lif	E14	72	1.620442618347386
Lif	E14	96	0.3119698068322531
Lif	E14	120	0.8364334419771374
Lif	E14	168	0.9371660050568569
Lif	R1	0	1.1151890533611701
Lif	R1	24	1.2655627858647374
Lif	R1	48	1.5750073281462047
Lif	R1	72	1.6502622009720653
Lif	R1	96	2.026064451020123
Lif	R1	120	1.5138592828188442
Lif	R1	168	1.5655029581371793
Lifr	E14	0	1.4612187909839103
Lifr	E14	24	2.454847547277897
Lifr	E14	48	1.9277584843654718
Lifr	E14	72	1.9526405696040858
Lifr	E14	96	2.218614913180149
Lifr	E14	120	2.350455036242866
Lifr	E14	168	2.578277561552274
Lifr	R1	0	1.7842642205496089
Lifr	R1	24	2.196534726645873
Lifr	R1	48	2.1225099211601397
Lifr	R1	72	1.8557436639923461
Lifr	R1	96	1.6445888185502673
Lifr	R1	120	2.8422848020460982
Lifr	R1	168	2.4645078269606295
Lin28a	E14	0	2.040702027710812
Lin28a	E14	24	1.7238859295337374
Lin28a	E14	48	1.8586866576311984
Lin28a	E14	72	1.51214444383469
Lin28a	E14	96	1.8847005802145274
Lin28a	E14	120	1.9757924650381908
Lin28a	E14	168	2.4448869428307076
Lin28a	R1	0	2.429603144854785
Lin28a	R1	24	0.9014819573105382
Lin28a	R1	48	0.4633648475990564
Lin28a	R1	72	0.9762570327001518
Lin28a	R1	96	0.8846122287411073
Lin28a	R1	120	1.4478950826173518
Lin28a	R1	168	1.5990431134075338
Mbd3	E14	0	0.8086553555045853
Mbd3	E14	24	1.7897377553750469
Mbd3	E14	48	1.8795269949586337
Mbd3	E14	72	1.5439575677078254
Mbd3	E14	96	1.4642561826434572
Mbd3	E14	120	1.5859164203943539
Mbd3	E14	168	2.448050825149324
Mbd3	R1	0	2.3612942751771815
Mbd3	R1	24	1.2930156678651905
Mbd3	R1	48	0.789829143764113
Mbd3	R1	72	1.963109415585869
Mbd3	R1	96	2.8253284084677017
Mbd3	R1	120	1.6760240218735343
Mbd3	R1	168	2.0261522536014627
MBP	E14	0	-0.0
MBP	E14	24	-0.0
MBP	E14	48	-0.0
MBP	E14	72	-0.0
MBP	E14	96	-0.0
MBP	E14	120	-0.0
MBP	E14	168	-0.0
MBP	R1	0	-0.0
MBP	R1	24	-0.0
MBP	R1	48	-0.0
MBP	R1	72	-0.0
MBP	R1	96	-0.0
MBP	R1	120	-0.0
MBP	R1	168	-0.0
Mef2a	E14	0	1.870969643325085
Mef2a	E14	24	1.5668691919803064
Mef2a	E14	48	1.545257203140137
Mef2a	E14	72	1.3878841507946866
Mef2a	E14	96	1.6643340217035862
Mef2a	E14	120	1.3062593257631456
Mef2a	E14	168	1.8270828051210457
Mef2a	R1	0	1.9019625550638075
Mef2a	R1	24	1.1283781403495914
Mef2a	R1	48	1.4476673709148313
Mef2a	R1	72	1.5608859011092333
Mef2a	R1	96	1.1368086380872682
Mef2a	R1	120	1.7310625241649558
Mef2a	R1	168	2.102341937135827
Mixl1	E14	0	-0.0
Mixl1	E14	24	0.16866093149667025
Mixl1	E14	48	0.1654270339962668
Mixl1	E14	72	0.26697622003061083
Mixl1	E14	96	-0.0
Mixl1	E14	120	-0.0
Mixl1	E14	168	-0.0
Mixl1	R1	0	-0.0
Mixl1	R1	24	-0.0
Mixl1	R1	48	0.1654270339962668
Mixl1	R1	72	-0.0
Mixl1	R1	96	-0.0
Mixl1	R1	120	0.1623261801753929
Mixl1	R1	168	-0.0
